model,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
default,21410,car,404.1,600.7,196.60000000000002,12123,18021,890.4944,374.42252,880.0496,366.3694,0.3795169651508331,0.468264639377594,5
default,21426,truck,404.3333333333333,404.3666666666667,0.03333333333335986,12130,12131,872.92554,361.28497,872.92554,361.28497,0.39538174867630005,0.39538174867630005,1
default,21441,car,406.7,407.46666666666664,0.7666666666666515,12201,12224,997.9603,398.7228,954.28723,360.13828,0.4131234301762147,0.5654325485229492,22
default,21503,car,412.23333333333335,412.5,0.2666666666666515,12367,12375,277.9405,361.16275,235.13019,398.47882,0.8604188188910484,0.9107756614685059,8
default,21555,car,416.7,417.1,0.4000000000000341,12501,12513,173.10776,361.90247,120.91039,399.74478,0.8844537138938904,0.9400454163551331,12
default,21563,car,414.2,414.53333333333336,0.33333333333337123,12426,12436,135.87544,363.3322,89.14025,398.8017,0.5685289323329925,0.661071240901947,10
default,21580,truck,406.93333333333334,600.7,193.7666666666667,12208,18021,985.3125,385.6684,981.1926,382.48953,0.3562207818031311,0.4110778868198395,3
default,21591,truck,407.23333333333335,407.46666666666664,0.23333333333329165,12217,12224,967.2317,368.54694,954.37463,360.41068,0.39340531826019287,0.5018761157989502,7
default,21608,car,409.6,410.1333333333333,0.533333333333303,12288,12304,855.62866,397.91168,806.09045,360.33963,0.9138845503330231,0.9372511506080627,16
default,21618,car,410.8,412.03333333333336,1.2333333333333485,12324,12361,987.94403,399.3044,924.44775,360.07025,0.8465509189141763,0.8988946676254272,37
default,21649,car,416.3666666666667,416.6333333333333,0.2666666666666515,12491,12499,343.0622,362.06067,311.61606,398.6763,0.8842296302318573,0.9041188359260559,8
default,21718,truck,420.1333333333333,420.53333333333336,0.4000000000000341,12604,12616,264.69763,360.08124,225.6811,398.71634,0.7602898329496384,0.8938453197479248,12
default,21724,car,412.0,412.4,0.39999999999997726,12360,12372,819.09937,397.72186,781.563,361.17648,0.4596588801253926,0.7545746564865112,11
default,21764,car,412.56666666666666,412.8666666666667,0.30000000000001137,12377,12386,636.3617,399.1671,623.6908,361.04956,0.7782458530531989,0.8573996424674988,9
default,21783,car,419.8,420.06666666666666,0.2666666666666515,12594,12602,419.01483,365.04547,401.54944,399.51666,0.6989577859640121,0.8540512919425964,8
default,21792,truck,412.0,600.7,188.70000000000005,12360,18021,820.7173,399.32166,788.1322,367.70337,0.5128723196685314,0.6537013649940491,8
default,21823,truck,413.8333333333333,414.2,0.36666666666667425,12415,12426,764.979,395.016,739.3092,362.65945,0.5794782475991682,0.6686846613883972,11
default,21910,car,415.4,415.7,0.30000000000001137,12462,12471,648.32996,398.29532,635.9309,361.21,0.8702670865588717,0.9046759605407715,9
default,21933,truck,416.2,416.6,0.4000000000000341,12486,12498,850.73596,398.01862,813.65186,362.68774,0.6085495551427206,0.684734046459198,12
default,21988,car,422.76666666666665,423.03333333333336,0.26666666666670835,12683,12691,399.5884,362.62094,385.3993,397.2826,0.8440029993653297,0.8827400207519531,8
default,22019,car,417.73333333333335,418.0,0.2666666666666515,12532,12540,766.6658,394.0038,734.0521,360.19016,0.7793344929814339,0.8251751661300659,8
default,22021,car,423.76666666666665,424.1666666666667,0.4000000000000341,12713,12725,186.0221,361.81366,139.2367,396.38892,0.8478157619635264,0.89524245262146,12
default,22036,car,424.43333333333334,424.73333333333335,0.30000000000001137,12733,12742,328.6544,363.10114,301.83984,399.30768,0.7152503927548727,0.8218083381652832,9
default,22069,truck,423.0,423.3,0.30000000000001137,12690,12699,186.36989,363.26074,144.69623,398.20184,0.5573971304628584,0.6319171190261841,9
default,22101,truck,419.93333333333334,420.3,0.36666666666667425,12598,12609,760.49347,398.2215,738.7252,360.78223,0.41145406828986275,0.5349786281585693,9
default,22135,truck,422.26666666666665,422.6333333333333,0.36666666666667425,12668,12679,148.46353,362.7453,94.69252,399.7455,0.47908607667142694,0.6375391483306885,11
default,22147,truck,420.8666666666667,421.2,0.3333333333333144,12626,12636,853.0931,396.93463,814.9498,361.09375,0.425982015473502,0.5884721279144287,7
default,22160,car,419.93333333333334,600.7,180.7666666666667,12598,18021,761.1063,399.16003,758.21875,393.39932,0.3433182090520859,0.3957928717136383,2
default,22175,truck,419.96666666666664,420.06666666666666,0.10000000000002274,12599,12602,406.8895,391.1541,401.57483,398.6836,0.39179080724716187,0.4060992896556854,3
default,22178,truck,420.06666666666666,600.7,180.63333333333338,12602,18021,751.58325,382.72906,743.3733,368.0949,0.4196271538734436,0.4831925928592682,5
default,22181,truck,420.4,420.53333333333336,0.1333333333333826,12612,12616,102.950165,384.52768,80.3194,397.60507,0.5048351734876633,0.6261987686157227,4
default,22183,bus,420.1666666666667,600.7,180.53333333333336,12605,18021,262.45602,362.74164,250.57458,376.83893,0.40583835244178773,0.4747997522354126,5
default,22186,car,424.8333333333333,425.1,0.26666666666670835,12745,12753,417.14368,361.6093,402.9732,397.0172,0.5404291110379356,0.7015224099159241,7
default,22188,truck,421.6333333333333,422.0,0.36666666666667425,12649,12660,143.90831,362.10254,92.22266,399.78125,0.4694832807237452,0.6201387643814087,11
default,22215,bus,420.5,420.53333333333336,0.03333333333335986,12615,12616,226.11063,398.51282,226.11063,398.51282,0.5212720036506653,0.5212720036506653,1
default,22244,car,420.8666666666667,600.7,179.83333333333337,12626,18021,854.2394,397.61407,827.71265,372.25946,0.4166983962059021,0.5856000185012817,6
default,22289,truck,421.1666666666667,421.3333333333333,0.16666666666662877,12635,12640,74.18852,386.7013,48.57303,399.8368,0.3841084659099579,0.5219694972038269,5
default,22325,truck,427.3333333333333,600.7,173.36666666666673,12820,18021,73.089325,360.8166,56.629112,367.09875,0.30079978704452515,0.3564792573451996,4
default,22347,truck,427.03333333333336,427.3666666666667,0.3333333333333144,12811,12821,144.70554,362.477,90.802124,394.6452,0.3845860395166609,0.5171357989311218,9
default,22350,car,423.8666666666667,424.6666666666667,0.8000000000000114,12716,12740,993.6924,399.78058,920.1362,361.08832,0.473669239452907,0.6790286302566528,21
default,22355,car,421.9,600.7,178.80000000000007,12657,18021,103.52512,391.84332,98.546646,394.82922,0.3250448703765869,0.3642122447490692,2
default,22386,car,426.03333333333336,426.3333333333333,0.2999999999999545,12781,12790,199.9437,362.84674,154.06873,398.64502,0.8652456800142924,0.9352369904518127,9
default,22404,car,422.46666666666664,600.7,178.2333333333334,12674,18021,118.17096,385.02362,113.246605,388.1726,0.36828678846359253,0.4380500316619873,2
default,22453,car,424.73333333333335,425.2,0.46666666666664014,12742,12756,730.5104,398.9463,704.8842,360.39014,0.8024683211530957,0.8516463041305542,14
default,22471,truck,423.8666666666667,600.7,176.83333333333337,12716,18021,993.7357,399.80487,993.7357,399.80487,0.44516560435295105,0.44516560435295105,1
default,22477,truck,423.1333333333333,600.7,177.56666666666672,12694,18021,166.85,381.49783,162.22777,384.13843,0.3722723424434662,0.40796899795532227,2
default,22506,truck,424.4,424.73333333333335,0.33333333333337123,12732,12742,821.12787,398.4828,782.8154,362.04053,0.3343616724014282,0.399742990732193,7
default,22510,car,424.73333333333335,425.03333333333336,0.30000000000001137,12742,12751,650.02094,399.50534,635.58734,363.92444,0.4047462244828542,0.5899461507797241,9
default,22533,truck,424.5,424.96666666666664,0.46666666666664014,12735,12749,905.34875,397.038,853.0377,360.04767,0.5268823972770146,0.6195115447044373,14
default,22602,car,424.53333333333336,600.7,176.16666666666669,12736,18021,929.2816,366.00745,929.2816,366.00745,0.3905271291732788,0.3905271291732788,1
default,22633,car,424.8333333333333,600.7,175.86666666666673,12745,18021,417.04327,361.19144,411.5756,379.63367,0.35472185611724855,0.4274221658706665,5
default,22661,truck,428.46666666666664,428.8,0.33333333333337123,12854,12864,170.4722,360.6626,124.21544,398.60596,0.6052352666854859,0.7259606122970581,10
default,22770,truck,430.46666666666664,430.73333333333335,0.26666666666670835,12914,12922,134.17874,362.2066,87.105545,396.86438,0.5161358006298542,0.6147565841674805,8
default,22773,car,427.73333333333335,428.03333333333336,0.30000000000001137,12832,12841,909.01355,391.94318,871.6869,363.50366,0.5914403398831686,0.6802431344985962,9
default,22854,truck,430.8666666666667,431.1333333333333,0.2666666666666515,12926,12934,213.45709,363.1474,179.32414,397.05475,0.5894404649734497,0.646341860294342,7
default,22900,truck,428.76666666666665,429.06666666666666,0.30000000000001137,12863,12872,812.91254,395.9721,777.2051,361.61075,0.529599087105857,0.6343303322792053,9
default,22963,truck,436.56666666666666,436.8666666666667,0.30000000000001137,13097,13106,161.1046,364.05118,114.773834,398.45276,0.5446070842444897,0.6615811586380005,8
default,22992,car,434.73333333333335,434.8666666666667,0.13333333333332575,13042,13046,346.64877,367.02515,330.82202,391.34247,0.8880757540464401,0.8986561894416809,4
default,22998,truck,434.5,434.8333333333333,0.3333333333333144,13035,13045,115.307785,361.11932,60.9906,399.23236,0.4786292552947998,0.5523890256881714,10
default,23037,truck,430.46666666666664,600.7,170.2333333333334,12914,18021,134.5543,361.80072,134.5543,361.80072,0.370258092880249,0.370258092880249,1
