experiment_key,plot_label,video_key,direction,min_avg_conf,min_duration_s,max_duration_s,overall_wape,keke_f1
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.5,0.5,10.0,0.9647887323943662,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.6,0.0,10.0,1.0,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.6,0.0,10.0,0.9859154929577465,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.6,0.15,10.0,1.0,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.6,0.15,10.0,0.9859154929577465,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.6,0.3,10.0,1.0,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.6,0.3,10.0,0.9859154929577465,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.6,0.5,10.0,1.0,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.6,0.5,10.0,0.9859154929577465,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.3,0.0,10.0,1.8865979381443299,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.3,0.0,10.0,1.8591549295774648,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.3,0.15,10.0,1.7628865979381443,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.3,0.15,10.0,1.7605633802816902,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.3,0.3,10.0,1.6855670103092784,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.3,0.3,10.0,1.6338028169014085,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.3,0.5,10.0,1.4690721649484537,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.3,0.5,10.0,1.4788732394366197,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.4,0.0,10.0,1.7422680412371134,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.4,0.0,10.0,1.7605633802816902,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.4,0.15,10.0,1.6443298969072164,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.4,0.15,10.0,1.6901408450704225,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.4,0.3,10.0,1.5876288659793814,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.4,0.3,10.0,1.5774647887323943,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.4,0.5,10.0,1.3711340206185567,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.4,0.5,10.0,1.4295774647887325,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.5,0.0,10.0,1.3711340206185567,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.5,0.0,10.0,1.5845070422535212,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.5,0.15,10.0,1.3453608247422681,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.5,0.15,10.0,1.5422535211267605,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.5,0.3,10.0,1.3195876288659794,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.5,0.3,10.0,1.4647887323943662,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.5,0.5,10.0,1.134020618556701,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.5,0.5,10.0,1.3309859154929577,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.6,0.0,10.0,1.041237113402062,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.6,0.0,10.0,1.3943661971830985,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.6,0.15,10.0,1.0309278350515463,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.6,0.15,10.0,1.3591549295774648,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.6,0.3,10.0,1.0103092783505154,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.6,0.3,10.0,1.295774647887324,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,downward,0.6,0.5,10.0,0.8969072164948454,
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,upward,0.6,0.5,10.0,1.1901408450704225,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.3,0.0,10.0,0.9639175257731959,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.3,0.0,10.0,0.8591549295774648,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.3,0.15,10.0,0.9639175257731959,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.3,0.15,10.0,0.8591549295774648,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.3,0.3,10.0,0.9639175257731959,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.3,0.3,10.0,0.8661971830985915,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.3,0.5,10.0,0.9690721649484536,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.3,0.5,10.0,0.8661971830985915,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.4,0.0,10.0,0.9639175257731959,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.4,0.0,10.0,0.9436619718309859,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.4,0.15,10.0,0.9639175257731959,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.4,0.15,10.0,0.9436619718309859,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.4,0.3,10.0,0.9639175257731959,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.4,0.3,10.0,0.9436619718309859,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.4,0.5,10.0,0.9690721649484536,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.4,0.5,10.0,0.9436619718309859,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.5,0.0,10.0,0.9948453608247423,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.5,0.0,10.0,0.971830985915493,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.5,0.15,10.0,0.9948453608247423,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.5,0.15,10.0,0.971830985915493,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.5,0.3,10.0,0.9948453608247423,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.5,0.3,10.0,0.971830985915493,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.5,0.5,10.0,0.9948453608247423,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.5,0.5,10.0,0.971830985915493,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.6,0.0,10.0,1.0,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.6,0.0,10.0,0.9929577464788732,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.6,0.15,10.0,1.0,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.6,0.15,10.0,0.9929577464788732,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.6,0.3,10.0,1.0,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.6,0.3,10.0,0.9929577464788732,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,downward,0.6,0.5,10.0,1.0,
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,upward,0.6,0.5,10.0,0.9929577464788732,
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,downward,0.3,0.0,10.0,1.5876288659793814,0.20338983050847456
