experiment_key,plot_label,video_key,architecture,variant,tracker,region_mode,direction,class,tp,fp,fn,precision,recall,f1,matched_time_mae_s,match_tolerance_s,min_duration_s,max_duration_s,min_avg_conf
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,YOLO11l,tuned,botsort,full_frame,downward,truck,0,2,2,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,YOLO11l,tuned,botsort,full_frame,upward,bus,0,0,0,,,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,YOLO11l,tuned,botsort,full_frame,upward,car,0,7,17,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,YOLO11l,tuned,botsort,full_frame,upward,keke,0,0,120,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,YOLO11l,tuned,botsort,full_frame,upward,truck,0,1,5,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,YOLO11l,tuned,botsort,roi,downward,bus,1,6,0,0.14285714285714285,1.0,0.25,0.6999999999999886,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,YOLO11l,tuned,botsort,roi,downward,car,34,102,1,0.25,0.9714285714285714,0.39766081871345027,0.2098039215686243,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,YOLO11l,tuned,botsort,roi,downward,keke,17,3,139,0.85,0.10897435897435898,0.1931818181818182,0.2392156862745067,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,YOLO11l,tuned,botsort,roi,downward,truck,1,29,1,0.03333333333333333,0.5,0.0625,0.23333333333332007,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,YOLO11l,tuned,botsort,roi,upward,bus,0,2,0,0.0,,,,1.0,0.15,10.0,0.4
