experiment_key,plot_label,video_key,scene,architecture,variant,tracker,region_mode,direction,class,predicted_count,manual_count,signed_error,abs_error,pct_error,abs_pct_error,count_accuracy,min_duration_s,max_duration_s,min_avg_conf
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,full_frame,downward,truck,2,2,0,0,0.0,0.0,1.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,full_frame,upward,bus,0,0,0,0,,,,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,full_frame,upward,car,7,17,-10,10,-58.8235294117647,58.8235294117647,0.4117647058823529,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,full_frame,upward,keke,0,120,-120,120,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,full_frame,upward,truck,1,5,-4,4,-80.0,80.0,0.19999999999999996,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,roi,downward,bus,7,1,6,6,600.0,600.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,roi,downward,car,136,35,101,101,288.57142857142856,288.57142857142856,0.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,roi,downward,keke,20,156,-136,136,-87.17948717948718,87.17948717948718,0.1282051282051282,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,roi,downward,truck,30,2,28,28,1400.0,1400.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,roi,upward,bus,2,0,2,2,,,,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,roi,upward,car,117,17,100,100,588.2352941176471,588.2352941176471,0.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,roi,upward,keke,20,120,-100,100,-83.33333333333333,83.33333333333333,0.16666666666666663,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,roi,upward,truck,9,5,4,4,80.0,80.0,0.19999999999999996,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,full_frame,downward,bus,0,1,-1,1,-100.0,100.0,0.0,0.15,10.0,0.4
