experiment_key,plot_label,video_key,scene,architecture,variant,tracker,region_mode,direction,manual_total,abs_error_total,overall_wape,macro_abs_pct_error,macro_event_f1,keke_f1,processing_fps
yola_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,default,bytetrack,full_frame,upward,332,329,0.9909638554216867,96.35220125786164,,,90.16621770065788
yola_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,default,bytetrack,roi,downward,318,372,1.169811320754717,191.2037037037037,0.40555097076836205,,89.63646004959374
yola_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,default,bytetrack,roi,upward,332,425,1.2801204819277108,228.9937106918239,0.388681592039801,,89.63646004959374
yola_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,tuned,botsort,full_frame,downward,318,316,0.9937106918238994,99.72375690607734,,,57.839338287655394
yola_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,tuned,botsort,full_frame,upward,332,331,0.9969879518072289,99.68553459119498,,,57.839338287655394
yola_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,tuned,botsort,roi,downward,318,52,0.16352201257861634,49.21113913577281,0.557961642629666,0.9591280653950954,58.14460958856055
yola_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,tuned,botsort,roi,upward,332,285,0.858433734939759,91.3363253343103,0.4259505213771597,0.5333333333333333,58.14460958856055
yola_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,tuned,bytetrack,full_frame,downward,318,316,0.9937106918238994,99.72375690607734,,,102.57699904049406
yola_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,tuned,bytetrack,full_frame,upward,332,330,0.9939759036144579,99.37106918238993,0.018518518518518517,,102.57699904049406
yola_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,tuned,bytetrack,roi,downward,318,51,0.16037735849056603,48.88629771977118,0.5534556297079425,0.951086956521739,102.84034262615062
yola_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,tuned,bytetrack,roi,upward,332,247,0.7439759036144579,72.15271417231484,0.5461361626878868,0.6153846153846154,102.84034262615062
yola_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,default,botsort,full_frame,downward,318,318,1.0,100.0,,,57.5124832316958
yola_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,default,botsort,full_frame,upward,332,331,0.9969879518072289,99.68553459119498,,,57.5124832316958
yola_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,default,botsort,roi,downward,318,226,0.710691823899371,65.35829307568437,0.5233847637415622,,57.95409793734088
yola_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,default,botsort,roi,upward,332,283,0.8524096385542169,70.37735849056604,0.5086734693877552,,57.95409793734088
yola_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,default,bytetrack,full_frame,downward,318,318,1.0,100.0,,,102.74345767151564
yola_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,default,bytetrack,full_frame,upward,332,331,0.9969879518072289,99.68553459119498,,,102.74345767151564
yola_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,default,bytetrack,roi,downward,318,225,0.7075471698113207,64.27133655394525,0.5159250585480093,,103.22811834771566
yola_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,default,bytetrack,roi,upward,332,283,0.8524096385542169,69.74842767295597,0.5118312757201646,,103.22811834771566
yola_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,tuned,botsort,full_frame,downward,318,315,0.9905660377358491,97.6879654095604,0.08,,57.31584275020785
yola_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,tuned,botsort,full_frame,upward,332,330,0.9939759036144579,98.01886792452831,,,57.31584275020785
yola_road__yolo26l_tuned__botsort__roi,YOLO26l tuned | botsort | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,tuned,botsort,roi,downward,318,58,0.18238993710691823,53.493018300548925,0.6500236015518582,0.9746478873239437,57.033569408988
yola_road__yolo26l_tuned__botsort__roi,YOLO26l tuned | botsort | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,tuned,botsort,roi,upward,332,321,0.9668674698795181,67.90773645966904,0.43910139647844565,0.29508196721311475,57.033569408988
yola_road__yolo26l_tuned__bytetrack__full_frame,YOLO26l tuned | bytetrack | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,tuned,bytetrack,full_frame,downward,318,314,0.9874213836477987,96.60100888782128,0.07692307692307691,,101.93384193964404
yola_road__yolo26l_tuned__bytetrack__full_frame,YOLO26l tuned | bytetrack | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,tuned,bytetrack,full_frame,upward,332,330,0.9939759036144579,98.01886792452831,,,101.93384193964404
yola_road__yolo26l_tuned__bytetrack__roi,YOLO26l tuned | bytetrack | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,tuned,bytetrack,roi,downward,318,68,0.2138364779874214,54.87423377016219,0.640116817854505,0.9449275362318841,101.76065462192882
yola_road__yolo26l_tuned__bytetrack__roi,YOLO26l tuned | bytetrack | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO26l,tuned,bytetrack,roi,upward,332,317,0.9548192771084337,77.7053184343897,0.42970760233918126,0.31578947368421056,101.76065462192882
