epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,13067.1,1.20177,1.02982,0.00643,0.77362,0.66924,0.74988,0.56174,1.13176,1.08988,0.00877,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,13366.1,1.20056,1.02012,0.00639,0.75783,0.68679,0.75182,0.56334,1.12592,1.08881,0.00873,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,13666.6,1.19408,1.01192,0.00641,0.75466,0.68214,0.75003,0.56201,1.12662,1.08422,0.00875,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,13966.7,1.192,1.00727,0.00631,0.75274,0.68202,0.75138,0.56428,1.12473,1.0871,0.00871,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,14265.7,1.18599,0.99357,0.00624,0.76354,0.68022,0.75364,0.56642,1.12301,1.08533,0.00864,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,14566.5,1.18618,0.99206,0.00623,0.75331,0.68826,0.75292,0.56679,1.12049,1.08546,0.00861,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,14862.6,1.17816,0.97264,0.00623,0.74855,0.69096,0.75309,0.56678,1.11789,1.08753,0.00858,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15155.8,1.17608,0.96587,0.00618,0.75918,0.68615,0.75327,0.56762,1.11979,1.08721,0.0086,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,15449.2,1.17006,0.96418,0.0061,0.75689,0.68561,0.75305,0.56748,1.11886,1.08879,0.00858,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,15742.3,1.16591,0.96216,0.00611,0.75526,0.69147,0.75448,0.56803,1.11661,1.09374,0.00853,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,16035.7,1.16244,0.94942,0.00603,0.75894,0.68693,0.75439,0.56827,1.11537,1.0958,0.00853,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,16329,1.15245,0.93083,0.00602,0.76123,0.69125,0.75424,0.56852,1.11514,1.09306,0.00853,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,16622.4,1.14771,0.93009,0.00604,0.75626,0.6917,0.75376,0.56853,1.11351,1.09363,0.00853,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,16915.7,1.14573,0.92395,0.00596,0.76334,0.69073,0.75436,0.56908,1.11387,1.0929,0.00854,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17208.9,1.14352,0.91235,0.00587,0.76749,0.68744,0.75527,0.56925,1.11487,1.08932,0.00854,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,17502.2,1.13564,0.90519,0.00583,0.7652,0.6883,0.75504,0.56894,1.11613,1.08835,0.00858,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,17795.4,1.13205,0.89465,0.0059,0.75571,0.69057,0.75423,0.56778,1.11679,1.08839,0.00858,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,18088.6,1.12596,0.8826,0.00583,0.76082,0.69209,0.75583,0.56857,1.11584,1.09263,0.00856,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,18382,1.12679,0.8831,0.00581,0.75823,0.69129,0.75464,0.56813,1.11365,1.09639,0.00851,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,18675.4,1.11497,0.86524,0.00576,0.76321,0.6899,0.75671,0.57022,1.11277,1.09811,0.0085,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,18968.7,1.10895,0.85279,0.00572,0.76277,0.69163,0.75617,0.5699,1.11353,1.09901,0.00852,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,19262,1.10651,0.85447,0.00565,0.75955,0.69267,0.75649,0.57062,1.11451,1.10021,0.00853,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,19555.3,1.10238,0.8479,0.00563,0.75981,0.69358,0.75536,0.56964,1.11573,1.10156,0.00854,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,19848.4,1.09993,0.83779,0.00558,0.76276,0.69385,0.75496,0.56921,1.11749,1.09968,0.00856,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,20141.6,1.09408,0.82595,0.00552,0.76457,0.69486,0.75613,0.57049,1.11714,1.10045,0.00856,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,20434.9,1.08967,0.81656,0.00553,0.76197,0.69636,0.7559,0.57057,1.11966,1.09964,0.00863,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,20728.1,1.08606,0.81424,0.00551,0.76375,0.69432,0.75562,0.57012,1.11925,1.10122,0.00862,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,21021.4,1.08239,0.80753,0.00538,0.76682,0.69257,0.75684,0.57127,1.11995,1.09971,0.00862,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,21314.6,1.0778,0.79757,0.00539,0.76733,0.69178,0.75581,0.57028,1.12031,1.10094,0.00861,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,21607.9,1.07257,0.79061,0.00536,0.76686,0.6911,0.75309,0.56787,1.12028,1.10397,0.00861,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,21901.2,1.06666,0.78405,0.00534,0.76727,0.69241,0.75388,0.5689,1.11986,1.10296,0.0086,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
